[2025-10-21T02:32:46.714Z] Método: GET | Ruta: /
[2025-10-21T02:32:47.314Z] Método: GET | Ruta: /favicon.ico
[2025-10-21T02:33:14.066Z] Método: GET | Ruta: /about
[2025-10-21T02:34:23.527Z] Método: GET | Ruta: /about
[2025-10-21T02:34:24.671Z] Método: GET | Ruta: /about
[2025-10-21T02:34:34.611Z] Método: GET | Ruta: /time
[2025-10-21T02:34:47.361Z] Método: GET | Ruta: /timee
[2025-10-21T02:36:01.113Z] Método: GET | Ruta: /timee
[2025-10-21T02:36:11.788Z] Método: GET | Ruta: /about
[2025-10-21T04:29:47.897Z] Método: GET | Ruta: /
[2025-10-21T04:29:56.877Z] Método: GET | Ruta: /users
